,description
24,"|Roaster Location:
|Denver, Colorado
|Coffee Origin:
|Huehuetenango Department, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|60/76
|Est. Price:
|$21.00/12 ounces
|Review Date:
|September 2020
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly savory, vibrant, deep. Meyer lemon zest, dark chocolate, tamarind, sandalwood, aromatic orchid in aroma and cup. Sweet-tart structure with bright, juicy acidity; satiny-smooth mouthfeel. Flavor-saturated-finish leads with notes of tamarind and lemon zest, rounding to deep, dark chocolate notes in the long.
Notes
This coffee tied for the second-highest rating in a cupping of washed-process coffees from Central America and Mexico for Coffee Review’s September 2020 report. Produced by Alejandro and Fredy Morales from trees of the Bourbon and Typica varieties of Arabica and processed by the washed method. Corvus Coffee Roasters is based in Denver, Colorado and specializes in rare and exclusive coffees from some of the finest growers in the world. Corvus particularly focuses on processing methods and selective harvesting, which result in small, seasonal micro-lots of uniquely sweet, vibrant, and clean flavor profiles. For more information, visit www.corvuscoffee.com.
Bottom Line
Deeply chocolaty Guatemala cup with distinct tamarind and aromatic orchid notes leaning toward the tropical.
Explore Similar Coffees
Click here for more reviews from Corvus Coffee Roasters
Click here for more information about coffees from Guatemala
This review originally appeared in the September, 2020 tasting report: The Fate of a Classic: Washed Central America Coffees"
25,"Peach Coffee Roasters
Brazil Sítio Ponte Fazenda Ponte
|Roaster Location:
|St. Johns, Georgia
|Coffee Origin:
|Chapada Diamantina region, Bahia State, Brazil
|Roast Level:
|Medium-Light
|Agtron:
|54/72
|Est. Price:
|$28.00/12 ounces
|Review Date:
|May 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Caramel apple, chrysanthemum, lemon verbena, cedar, almond butter in aroma and cup. Sweetly bright structure with delicately juicy acidity; gently buoyant mouthfeel. The roundly sweet finish leads with notes of caramel apple and chrysanthemum.
Notes
Produced by Rodolfo Moreno Costa Rodrigues of Fazenda Ponte entirely of the Red Catucai IAC 144 variety of Arabica, and processed by the natural method in the whole fruit with an added dry ferment step. Peach Coffee Roasters is an Atlanta, Georgia-based specialty roaster. Visit peachcoffeeroasters.com for more information.
Bottom Line
A quietly confident Brazil cup redolent of caramel apple, framed in fragrant aromatic wood notes suggesting cedar.
Explore Similar Coffees
Click here for more reviews from Peach Coffee Roasters
Click here for more information about coffees from Brazil
This review originally appeared in the May, 2022 tasting report: Brazil Naturals: Tradition and Innovation"
26,"|Roaster Location:
|Sacramento, California
|Coffee Origin:
|Nyeri County, Kenya
|Roast Level:
|Medium-Light
|Agtron:
|56/74
|Est. Price:
|$23.50/12 ounces
|Review Date:
|September 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deeply sweet-savory, intricate, inviting. Black currant, cocoa nib, lemon verbena, fresh-cut oak, Nutella in aroma and cup. Balanced, sweetly tart structure with juicy-bright acidity; plush, satiny mouthfeel. The finish consolidates to lasting black currant and Nutella notes.
Notes
Produced by smallholding farmers surrounding the Karatina Coffee Factory from trees of the Ruiru 11, SL28 and Batian varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.
Bottom Line
A classic Kenya cup: rich, sweetly savory, bright, juicy, deep.
Explore Similar Coffees
Click here for more reviews from Temple Coffee Roasters
Click here for more information about coffees from Kenya"
27,"Big Island Coffee Roasters
Kona Noir
|Roaster Location:
|Mountain View, Hawaii
|Coffee Origin:
|Holualoa, Kona, Big Island of Hawai’i
|Roast Level:
|Light
|Agtron:
|62/80
|Est. Price:
|$29.00/4 ounces
|Review Date:
|September 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Elegantly fruit-toned, gently spice-driven. Date, clove, blood orange, baking chocolate, cedar in aroma and cup. Complex bittersweet structure with winey acidity; plush, syrupy mouthfeel. The resonant finish is centered around notes of date, blood orange and clove.
Notes
Produced by Kraig Lee and Franck Carisey entirely of the SL34 variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried) with the addition of wine yeasts during fermentation. Big Island Coffee is an award-winning coffee roaster operated with hands-on passion by Kelleigh Stewart and Brandon von Damitz. Visit www.bigislandcoffeeroasters.com for more information.
Bottom Line
A distinctive Kona cup from the rare Kenya-derived SL34 variety of Arabica, worth seeking out for its confident fruit and nuanced spice notes.
Explore Similar Coffees
Click here for more reviews from Big Island Coffee Roasters
Click here for more information about coffees from Hawaii"
28,"|Roaster Location:
|Crystal Lake, Illinois
|Coffee Origin:
|Sabanilla de Alajuela, Central Valley, Costa Rica
|Roast Level:
|Light
|Agtron:
|64/78
|Est. Price:
|$27.00/12 ounces
|Review Date:
|July 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Gently fruit-forward, balanced. Black cherry, tea rose, walnut, baking chocolate, cedar in aroma and cup. Bold, brisk acidity; very full, syrupy mouthfeel. Finish consolidates to notes of black cherry and cedar.
Notes
Produced by Francisca and Oscar Chacon of Finca Las Lajas, from trees of the Caturra and Catuai varieties of Arabica, and processed by the natural method (dried in the whole fruit). Conscious Cup Coffee Roasters is an independent and family-owned and -operated cafe and coffee roaster specializing in socially and environmentally sustainable coffees. Visit www.consciouscup.com or call 815-356-0115 for more information.
Bottom Line
A high-toned, fruity and floral-toned natural-processed Costa Rica.
Explore Similar Coffees
Click here for more reviews from Conscious Cup Coffee Roasters
Click here for more information about coffees from Costa Rica"
29,"|Roaster Location:
|Chia-Yi, Taiwan
|Coffee Origin:
|Guji Zone, Oromia Region, Southern Ethiopia
|Roast Level:
|Light
|Agtron:
|64/84
|Est. Price:
|NT $375/8 ounces
|Review Date:
|August 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Complex, bright, cleanly fruit-forward. Meyer lemon zest, ripe plum, cocoa nib, violet, black sage in aroma and cup. Sweetly tart with crisp, juicy acidity; silky, supple mouthfeel. Deeply layered finish centered on stone fruit and cocoa.
Notes
Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.
Bottom Line
A graceful, high-toned Ethiopia cup with sweet herb undertones, inviting in its delicately floral and fruit-toned complexity.
Explore Similar Coffees
Click here for more reviews from Kakalove Cafe
Click here for more information about coffees from Ethiopia"
30,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Chelchele, Gedeb District, Gedeo Zone, Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|58/78
|Est. Price:
|$18.00/8 ounces
|Review Date:
|November 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
High-toned, richly sweet-tart. Mango, cocoa nib, lemongrass, cedar, narcissus in aroma and cup. Balanced, sweetly tart structure with lively acidity; syrupy-smooth mouthfeel. The long, sweetly herb-toned finish leads with lemongrass notes with undertones of crisp cocoa nib.
Notes
Produced by the METAD farm and mill in southern Ethiopia. Southern Ethiopia produces distinctive coffees from traditional landrace varieties of Arabica long grown in the region. Coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.
Bottom Line
A juicy, high-toned Ethiopia cup with rich tropical fruit and lemony herb notes and a cocoa throughline.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Ethiopia"
31,"|Roaster Location:
|Sacramento, California
|Coffee Origin:
|Corquin, Honduras
|Roast Level:
|Medium-Light
|Agtron:
|58/75
|Est. Price:
|$22.00/12 ounces
|Review Date:
|September 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Plushly nut-toned, richly aromatic. Hazelnut butter, date, maple syrup, pink grapefruit zest, hint of bay leaf in aroma and cup. Balanced, even-keeled acidity; crisp, satiny-smooth mouthfeel. Hazelnut notes foreground the gentle finish.
Notes
Produced by Sergio and Walter Romero of La Lesquiñada Farm, entirely of the Parainema variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features selections from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.
Bottom Line
Distinct hazelnut notes are front and center in this Honduras Parainema cup supported by citrus zest and sweet herbs.
Explore Similar Coffees
Click here for more reviews from Temple Coffee
Click here for more information about coffees from Honduras"
32,"Dragonfly Coffee Roasters
Yemen Mocha Haimi
|Roaster Location:
|Henderson, Nevada
|Coffee Origin:
|Al Hayma District, Sana’a Governorate, Yemen
|Roast Level:
|Medium-Light
|Agtron:
|57/77
|Est. Price:
|$40.00/8 ounces
|Review Date:
|October 2021
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Quietly complex, gently bright. Macadamia nut, baking chocolate, magnolia, blackberry, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; full, syrupy mouthfeel. The resonant finish centers around notes of crisp chocolate and cedar.
Notes
Produced by smallholding farmers from trees of the Dwairi and Tufahi varieties of Arabica and processed by the natural method (sun-dried in the whole fruit). Dragonfly Coffee, named 2019 Micro-Roaster of the Year by Roast magazine, is now based in Henderson, Nevada. Visit www.dragonflycoffeeroasters.com or call 303-579-2154 for more information.
Bottom Line
A straight-ahead, crisply chocolaty, sweetly nut- and berry-toned Yemen cup.
Explore Similar Coffees
Click here for more reviews from Dragonfly Coffee Roasters
Click here for more information about coffees from Yemen
This review originally appeared in the October, 2021 tasting report: Yemen Coffees: Variations on the World's Oldest Cup Profile"
33,"|Roaster Location:
|Hilo, Big Island of Hawai'i
|Coffee Origin:
|Holualoa, Kona, Big Island of Hawai’i
|Roast Level:
|Light
|Agtron:
|63/79
|Est. Price:
|$35.00/4 ounces
|Review Date:
|July 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
Blind Assessment
Richly nut-toned, very sweet. Toffee, hazelnut, magnolia, green grape, marjoram in aroma and cup. Bright, juicy-sweet acidity; lively, viscous mouthfeel. Long, resonant finish that harmoniously carries forward all the notes from the cup.
Notes
Produced at Noelani Farm, entirely of the K7 variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information.
Bottom Line
A fine, classic washed Kona cup: deep-toned, balanced, richly sweet, floral.
Explore Similar Coffees
Click here for more reviews from Paradise Roasters
Click here for more information about coffees from Hawaii"
